# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DERL3	ENSG00000099958	ENST00000406855	protein_coding	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000464023	processed_transcript	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000464034	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000464110	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000476077	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000488272	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000493596	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR10	ENSG00000273164	ENST00000609839	sense_intronic	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1
DGCR14	ENSG00000100056	ENST00000252137	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000263196	protein_coding	0	0	0	17	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	1
DGCR2	ENSG00000070413	ENST00000389262	nonsense_mediated_decay	0	0	0	17	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	1
DGCR2	ENSG00000070413	ENST00000467659	retained_intron	0	0	0	5	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000473832	processed_transcript	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000537045	protein_coding	0	0	0	17	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	1
DGCR2	ENSG00000070413	ENST00000545799	protein_coding	0	0	0	17	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	1
DGCR2	ENSG00000070413	ENST00000608548	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DGCR5	ENSG00000237517	ENST00000399539	antisense	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3
DGCR5	ENSG00000237517	ENST00000421572	antisense	0	0	0	23	0	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0	4
DGCR5	ENSG00000237517	ENST00000424407	antisense	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR5	ENSG00000237517	ENST00000438934	antisense	0	0	0	25	0	0	0	0	0	2	0	11	0	8	0	0	0	0	0	0	4
DGCR5	ENSG00000237517	ENST00000440005	antisense	0	0	0	31	0	0	0	0	0	2	0	25	0	0	0	0	0	0	0	0	4
DGCR5	ENSG00000237517	ENST00000537283	antisense	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9
DGCR5	ENSG00000237517	ENST00000540720	antisense	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000331444	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000413981	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000427407	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000436645	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000477156	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000480608	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000483718	nonsense_mediated_decay	0	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000608842	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000351989	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000383024	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000407755	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000475941	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000485802	retained_intron	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
DGCR8	ENSG00000128191	ENST00000491892	retained_intron	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000495351	retained_intron	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
DGCR8	ENSG00000128191	ENST00000495826	retained_intron	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000498171	retained_intron	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
DGCR9	ENSG00000273032	ENST00000609630	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DMC1	ENSG00000100206	ENST00000216024	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DMC1	ENSG00000100206	ENST00000415483	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DMC1	ENSG00000100206	ENST00000428462	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DMC1	ENSG00000100206	ENST00000439567	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DMC1	ENSG00000100206	ENST00000478820	retained_intron	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DNAJA1P6	ENSG00000228045	ENST00000437347	processed_pseudogene	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
DRG1	ENSG00000185721	ENST00000331457	protein_coding	0	0	0	15	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	1
DRG1	ENSG00000185721	ENST00000416465	nonsense_mediated_decay	0	1	0	9	0	0	0	0	0	3	0	6	0	0	0	0	1	0	0	0	1
DRG1	ENSG00000185721	ENST00000433341	processed_transcript	0	1	0	9	0	0	0	0	0	3	0	6	0	0	0	0	1	0	0	0	1
DRG1	ENSG00000185721	ENST00000469673	retained_intron	0	0	0	9	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	2
DRG1	ENSG00000185721	ENST00000486584	processed_transcript	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
DRG1	ENSG00000185721	ENST00000548143	nonsense_mediated_decay	0	0	0	33	0	0	0	0	0	4	0	27	0	0	0	0	0	0	0	0	2
DUXAP8	ENSG00000271672	ENST00000456786	transcribed_processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EFCAB6	ENSG00000186976	ENST00000262726	protein_coding	0	0	0	23	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000356087	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000358439	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000396231	protein_coding	0	0	0	23	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000404038	retained_intron	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000461800	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000468552	retained_intron	0	0	0	12	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2
EFCAB6	ENSG00000186976	ENST00000476600	processed_transcript	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000483324	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EFCAB6	ENSG00000186976	ENST00000485142	processed_transcript	0	0	0	5	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
EFCAB6-AS1	ENSG00000223843	ENST00000431327	antisense	0	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000216190	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000405442	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000426531	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EIF3D	ENSG00000100353	ENST00000432675	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000455547	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000457241	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000458572	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EIF3D	ENSG00000100353	ENST00000462794	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EIF3D	ENSG00000100353	ENST00000541106	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000330125	protein_coding	0	0	0	13	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000344710	protein_coding	0	0	0	13	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000382180	protein_coding	0	0	0	7	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000397518	protein_coding	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000397520	protein_coding	0	0	0	5	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1
EIF4ENIF1	ENSG00000184708	ENST00000397523	protein_coding	0	0	0	13	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000397525	protein_coding	0	0	0	13	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000418321	protein_coding	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000423097	protein_coding	0	0	0	6	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000441289	processed_transcript	0	0	0	5	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2
EIF4ENIF1	ENSG00000184708	ENST00000445424	nonsense_mediated_decay	0	0	0	5	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000475437	retained_intron	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
EIF4ENIF1	ENSG00000184708	ENST00000487671	retained_intron	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000495101	retained_intron	0	0	0	7	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0
EIF4HP2	ENSG00000237977	ENST00000424380	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ELFN2	ENSG00000166897	ENST00000402918	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000414347	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000415408	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000424973	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000435824	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000451509	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000334018	protein_coding	0	0	0	20	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1
EMID1	ENSG00000186998	ENST00000404755	protein_coding	0	0	0	20	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1
EMID1	ENSG00000186998	ENST00000404820	protein_coding	0	0	0	20	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1
EMID1	ENSG00000186998	ENST00000429226	protein_coding	0	0	0	11	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	1
EMID1	ENSG00000186998	ENST00000430127	protein_coding	0	0	0	11	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	1
EMID1	ENSG00000186998	ENST00000433143	protein_coding	0	1	0	10	0	0	0	0	0	4	0	5	0	0	0	0	1	0	0	0	2
EMID1	ENSG00000186998	ENST00000435427	nonsense_mediated_decay	0	0	0	11	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	1
EMID1	ENSG00000186998	ENST00000473933	retained_intron	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
EMID1	ENSG00000186998	ENST00000484039	processed_transcript	0	0	0	9	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000487477	retained_intron	0	0	0	15	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	3
EMID1	ENSG00000186998	ENST00000488820	retained_intron	0	0	0	15	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	3
ENTHD1	ENSG00000176177	ENST00000325157	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENTHD1	ENSG00000176177	ENST00000490326	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EP300	ENSG00000100393	ENST00000263253	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EWSR1	ENSG00000182944	ENST00000331029	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000332035	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000332050	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000333395	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000397938	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000406548	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000414183	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000415761	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000436425	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000437155	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000447973	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000455726	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000479135	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000483415	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FABP5P11	ENSG00000240122	ENST00000430910	processed_pseudogene	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
FAM109B	ENSG00000177096	ENST00000321753	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM109B	ENSG00000177096	ENST00000419475	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000216214	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000405548	protein_coding	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5
FAM118A	ENSG00000100376	ENST00000405673	protein_coding	0	0	0	9	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000427777	protein_coding	0	0	0	9	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000441876	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000459849	processed_transcript	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5
FAM118A	ENSG00000100376	ENST00000462361	retained_intron	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FAM118A	ENSG00000100376	ENST00000476478	processed_transcript	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5
FAM118A	ENSG00000100376	ENST00000476754	processed_transcript	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5
FAM118A	ENSG00000100376	ENST00000477714	retained_intron	0	0	0	9	0	0	0	0	0	5	0	2	0	2	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000479180	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FAM118A	ENSG00000100376	ENST00000483102	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FAM118A	ENSG00000100376	ENST00000487732	retained_intron	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5
FAM19A5	ENSG00000219438	ENST00000336769	protein_coding	0	0	0	135	0	0	0	0	0	4	0	131	0	0	0	0	0	0	0	0	0
FAM19A5	ENSG00000219438	ENST00000358295	protein_coding	0	0	0	63	0	0	0	0	0	2	0	59	0	0	0	0	0	0	0	0	2
FAM19A5	ENSG00000219438	ENST00000402357	protein_coding	0	0	0	79	0	0	0	0	0	2	0	77	0	0	0	0	0	0	0	0	0
FAM19A5	ENSG00000219438	ENST00000406880	protein_coding	0	0	0	14	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	2
FAM19A5	ENSG00000219438	ENST00000473898	processed_transcript	0	0	0	63	0	0	0	0	0	2	0	59	0	0	0	0	0	0	0	0	2
FAM211B	ENSG00000178026	ENST00000318753	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000404045	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000446942	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000460524	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000464490	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000465334	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000491910	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000495297	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000355830	protein_coding	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000406767	protein_coding	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000424706	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000484582	retained_intron	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000490082	retained_intron	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000535113	protein_coding	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000540952	processed_transcript	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000541689	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000544346	processed_transcript	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2
FAM227A	ENSG00000184949	ENST00000608409	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
FAM230A	ENSG00000188280	ENST00000434783	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM230A	ENSG00000188280	ENST00000583722	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM230B	ENSG00000215498	ENST00000415376	lincRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM230B	ENSG00000215498	ENST00000421576	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM230B	ENSG00000215498	ENST00000424410	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM230B	ENSG00000215498	ENST00000446717	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM230B	ENSG00000215498	ENST00000451257	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FAM230C	ENSG00000206142	ENST00000411581	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000416405	lincRNA	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000416615	lincRNA	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000431488	lincRNA	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000436681	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM230C	ENSG00000206142	ENST00000440315	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM230C	ENSG00000206142	ENST00000447720	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000451574	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000452952	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000453273	lincRNA	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
FAM32B	ENSG00000203416	ENST00000344033	processed_pseudogene	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
FAM83F	ENSG00000133477	ENST00000333407	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
FAM83F	ENSG00000133477	ENST00000473717	protein_coding	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
FAM83F	ENSG00000133477	ENST00000488874	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000262722	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000327858	protein_coding	0	0	0	26	1	0	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000340923	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000348697	protein_coding	0	0	0	26	1	0	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000402984	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000411478	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
