# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CBX7	ENSG00000100307	ENST00000401405	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CBX7	ENSG00000100307	ENST00000434260	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CBX7	ENSG00000100307	ENST00000475962	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CBX7	ENSG00000100307	ENST00000477827	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CBX7	ENSG00000100307	ENST00000482294	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CDC42EP1	ENSG00000128283	ENST00000249014	protein_coding	0	0	0	6	0	0	2	0	0	0	0	0	0	0	4
CDC42EP1	ENSG00000128283	ENST00000415670	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CDC42EP1	ENSG00000128283	ENST00000430687	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
CECR1	ENSG00000093072	ENST00000262607	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR1	ENSG00000093072	ENST00000330232	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR1	ENSG00000093072	ENST00000399837	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR1	ENSG00000093072	ENST00000399839	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR1	ENSG00000093072	ENST00000449907	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR1	ENSG00000093072	ENST00000469063	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR1	ENSG00000093072	ENST00000480276	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CECR2	ENSG00000099954	ENST00000262608	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
CECR2	ENSG00000099954	ENST00000342247	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
CECR2	ENSG00000099954	ENST00000355219	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CECR2	ENSG00000099954	ENST00000400573	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
CECR2	ENSG00000099954	ENST00000400585	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000155674	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000336737	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000399852	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000463033	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000477157	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000480451	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CECR5	ENSG00000069998	ENST00000486462	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CELSR1	ENSG00000075275	ENST00000262738	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0
CELSR1	ENSG00000075275	ENST00000395964	protein_coding	0	0	0	14	0	0	2	12	0	0	0	0	0	0	0
CELSR1	ENSG00000075275	ENST00000454637	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0
CELSR1	ENSG00000075275	ENST00000468025	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CELSR1	ENSG00000075275	ENST00000473624	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CELSR1	ENSG00000075275	ENST00000497509	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CERK	ENSG00000100422	ENST00000216264	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CERK	ENSG00000100422	ENST00000443629	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CERK	ENSG00000100422	ENST00000460254	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CERK	ENSG00000100422	ENST00000541677	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000328354	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000348295	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000382565	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000382566	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000382578	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000382580	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000398017	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000402731	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000403642	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000404276	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000405598	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000416671	nonsense_mediated_decay	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000417588	nonsense_mediated_decay	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000425190	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000433028	nonsense_mediated_decay	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000433728	nonsense_mediated_decay	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000439200	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000439346	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000447421	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000448511	nonsense_mediated_decay	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CHEK2	ENSG00000183765	ENST00000454252	nonsense_mediated_decay	0	0	0	4	2	0	0	0	0	2	0	0	0	0	0
CHEK2	ENSG00000183765	ENST00000544772	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CHKB	ENSG00000100288	ENST00000463053	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CITF22-49D8.1	ENSG00000224715	ENST00000434707	lincRNA	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2
CLTCL1	ENSG00000070371	ENST00000263200	protein_coding	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000353891	protein_coding	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000412649	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000413132	retained_intron	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000427926	protein_coding	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000442042	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000449918	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000505027	nonsense_mediated_decay	0	0	0	6	0	0	2	4	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000536806	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CLTCL1	ENSG00000070371	ENST00000540896	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
COMT	ENSG00000093010	ENST00000207636	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000361682	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000403184	protein_coding	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000403710	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000406520	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000407537	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000412786	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000428707	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000449653	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000467943	retained_intron	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0
COMT	ENSG00000093010	ENST00000493893	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
COX7BP1	ENSG00000243453	ENST00000458450	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CR536603.1	ENSG00000265610	ENST00000578136	miRNA	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CRKL	ENSG00000099942	ENST00000354336	protein_coding	0	0	0	8	6	0	0	2	0	0	0	0	0	0	0
CRKL	ENSG00000099942	ENST00000411769	nonsense_mediated_decay	0	0	0	14	6	0	0	2	0	6	0	0	0	0	0
CRYBB1	ENSG00000100122	ENST00000215939	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CRYBB2P1	ENSG00000100058	ENST00000354451	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CRYBB2P1	ENSG00000100058	ENST00000382734	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CRYBB2P1	ENSG00000100058	ENST00000509460	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CSF2RB	ENSG00000100368	ENST00000262825	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CSF2RB	ENSG00000100368	ENST00000403662	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CSF2RB	ENSG00000100368	ENST00000406230	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CSF2RB	ENSG00000100368	ENST00000421539	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CSF2RB	ENSG00000100368	ENST00000536485	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CSNK1E	ENSG00000213923	ENST00000400206	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
CTA-126B4.7	ENSG00000230107	ENST00000428765	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CTA-150C2.20	ENSG00000259421	ENST00000558766	unprocessed_pseudogene	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CTA-211A9.5	ENSG00000244625	ENST00000421253	lincRNA	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CTA-211A9.5	ENSG00000244625	ENST00000435162	lincRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
CTA-211A9.5	ENSG00000244625	ENST00000437071	lincRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
CTA-211A9.5	ENSG00000244625	ENST00000440816	lincRNA	0	0	0	8	0	0	2	6	0	0	0	0	0	0	0
CTA-211A9.5	ENSG00000244625	ENST00000444388	lincRNA	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2
CTA-211A9.5	ENSG00000244625	ENST00000449017	lincRNA	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
CTA-211A9.5	ENSG00000244625	ENST00000450963	lincRNA	0	0	0	10	0	0	2	6	0	0	0	0	0	0	2
CTA-217C2.1	ENSG00000226328	ENST00000426282	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CTA-217C2.1	ENSG00000226328	ENST00000432502	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CTA-221G9.10	ENSG00000271181	ENST00000604037	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CTA-228A9.3	ENSG00000272720	ENST00000609162	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CTA-246H3.11	ENSG00000231466	ENST00000434827	processed_pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
CTA-246H3.8	ENSG00000230637	ENST00000433457	unprocessed_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-292E10.6	ENSG00000226471	ENST00000418292	antisense	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-292E10.6	ENSG00000226471	ENST00000422972	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CTA-292E10.6	ENSG00000226471	ENST00000451486	antisense	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-292E10.6	ENSG00000226471	ENST00000458080	antisense	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-292E10.8	ENSG00000272858	ENST00000607919	sense_intronic	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CTA-299D3.8	ENSG00000219016	ENST00000407505	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CTA-299D3.8	ENSG00000219016	ENST00000463107	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CTA-299D3.8	ENSG00000219016	ENST00000467207	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-342B11.2	ENSG00000230866	ENST00000416995	lincRNA	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CTA-342B11.2	ENSG00000230866	ENST00000436395	lincRNA	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CTA-373H7.7	ENSG00000206028	ENST00000382641	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CTA-384D8.36	ENSG00000272821	ENST00000608319	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CTA-407F11.8	ENSG00000234884	ENST00000412773	antisense	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-407F11.8	ENSG00000234884	ENST00000422876	antisense	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CTA-407F11.8	ENSG00000234884	ENST00000453811	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CTA-714B7.4	ENSG00000238153	ENST00000414048	processed_pseudogene	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2
CTA-714B7.5	ENSG00000233080	ENST00000423311	lincRNA	0	0	0	11	0	0	0	9	0	0	0	0	0	0	2
CTA-747E2.10	ENSG00000226772	ENST00000456740	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
CTA-85E5.6	ENSG00000225971	ENST00000451219	processed_pseudogene	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0
CTA-929C8.8	ENSG00000230051	ENST00000413244	lincRNA	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
CTA-992D9.7	ENSG00000231405	ENST00000430468	lincRNA	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CTB-1048E9.7	ENSG00000230203	ENST00000450463	processed_pseudogene	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CYP2D7P	ENSG00000205702	ENST00000358097	polymorphic_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYP2D7P	ENSG00000205702	ENST00000424775	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CYP2D7P	ENSG00000205702	ENST00000433992	polymorphic_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYP2D7P	ENSG00000205702	ENST00000435101	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYP2D7P	ENSG00000205702	ENST00000435688	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000248901	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000402997	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000405206	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000439667	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000457992	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000462927	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000469886	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
CYTH4	ENSG00000100055	ENST00000480510	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
D86994.2	ENSG00000207834	ENST00000385099	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
D87015.1	ENSG00000207835	ENST00000385100	miRNA	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0
DENND6B	ENSG00000205593	ENST00000413817	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
DENND6B	ENSG00000205593	ENST00000495607	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
DEPDC5	ENSG00000100150	ENST00000266091	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000382105	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000382111	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000382112	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000400246	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000400248	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000400249	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000433147	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000448753	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000462414	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000471914	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000490731	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000494065	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DEPDC5	ENSG00000100150	ENST00000535622	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000290730	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000404056	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000406855	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DERL3	ENSG00000099958	ENST00000464023	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000263196	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000389262	nonsense_mediated_decay	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000467659	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000473832	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000537045	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000545799	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
DGCR2	ENSG00000070413	ENST00000608548	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR5	ENSG00000237517	ENST00000399539	antisense	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
DGCR5	ENSG00000237517	ENST00000421572	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
DGCR5	ENSG00000237517	ENST00000438934	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
DGCR5	ENSG00000237517	ENST00000440005	antisense	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000331444	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000413981	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000427407	nonsense_mediated_decay	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000436645	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000477156	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000480608	nonsense_mediated_decay	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000483718	nonsense_mediated_decay	0	0	0	4	2	0	0	0	0	2	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000608842	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000351989	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000383024	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000407755	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000475941	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000485802	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000491892	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000495351	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000495826	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	ENST00000498171	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
DNAJA1P6	ENSG00000228045	ENST00000437347	processed_pseudogene	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0
DRG1	ENSG00000185721	ENST00000548143	nonsense_mediated_decay	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000262726	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000356087	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000358439	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000396231	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000404038	retained_intron	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000468552	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000476600	processed_transcript	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
EFCAB6	ENSG00000186976	ENST00000485142	processed_transcript	0	0	0	5	0	0	2	3	0	0	0	0	0	0	0
EFCAB6-AS1	ENSG00000223843	ENST00000431327	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000330125	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000344710	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000382180	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000397523	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000397525	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000418321	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000423097	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000441289	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
EIF4ENIF1	ENSG00000184708	ENST00000445424	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000475437	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
EIF4ENIF1	ENSG00000184708	ENST00000487671	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
EIF4ENIF1	ENSG00000184708	ENST00000495101	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
EIF4HP2	ENSG00000237977	ENST00000424380	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ELFN2	ENSG00000166897	ENST00000402918	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000414347	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000415408	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000424973	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000435824	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ELFN2	ENSG00000166897	ENST00000451509	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
