# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EMID1	ENSG00000186998	ENST00000473933	retained_intron	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5
EMID1	ENSG00000186998	ENST00000484039	processed_transcript	0	0	0	11	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0
EMID1	ENSG00000186998	ENST00000487477	retained_intron	0	0	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	4
EMID1	ENSG00000186998	ENST00000488820	retained_intron	0	0	0	19	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5
ENTHD1	ENSG00000176177	ENST00000325157	protein_coding	0	0	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1
ENTHD1	ENSG00000176177	ENST00000490326	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EP300	ENSG00000100393	ENST00000263253	protein_coding	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2
EWSR1	ENSG00000182944	ENST00000331029	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000332035	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000332050	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000333395	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000397938	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000406548	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000414183	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000415761	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000436425	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000437155	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000447973	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000455726	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000479135	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1	ENSG00000182944	ENST00000483415	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM109B	ENSG00000177096	ENST00000321753	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM109B	ENSG00000177096	ENST00000419475	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM118A	ENSG00000100376	ENST00000216214	protein_coding	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1
FAM118A	ENSG00000100376	ENST00000405548	protein_coding	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000405673	protein_coding	0	0	0	9	0	0	0	0	0	4	4	0	0	0	0	0	0	0	1
FAM118A	ENSG00000100376	ENST00000424557	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000427777	protein_coding	0	0	0	8	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000441876	protein_coding	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1
FAM118A	ENSG00000100376	ENST00000452238	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000459849	processed_transcript	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000462361	retained_intron	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4
FAM118A	ENSG00000100376	ENST00000476478	processed_transcript	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000476754	processed_transcript	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000477714	retained_intron	0	0	0	9	0	0	0	0	0	4	4	0	0	0	0	0	0	0	1
FAM118A	ENSG00000100376	ENST00000479180	processed_transcript	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5
FAM118A	ENSG00000100376	ENST00000481447	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM118A	ENSG00000100376	ENST00000483102	processed_transcript	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4
FAM118A	ENSG00000100376	ENST00000487732	retained_intron	0	0	0	9	0	0	0	0	0	2	5	0	0	0	0	0	0	0	2
FAM118A	ENSG00000100376	ENST00000491671	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM19A5	ENSG00000219438	ENST00000336769	protein_coding	0	0	0	75	0	0	0	0	0	2	73	0	0	0	0	0	0	0	0
FAM19A5	ENSG00000219438	ENST00000358295	protein_coding	0	0	0	37	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0
FAM19A5	ENSG00000219438	ENST00000402357	protein_coding	0	0	0	58	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0
FAM19A5	ENSG00000219438	ENST00000406880	protein_coding	0	0	0	20	0	0	0	0	0	0	18	0	0	0	0	0	0	0	2
FAM19A5	ENSG00000219438	ENST00000473898	processed_transcript	0	0	0	37	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000318753	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000404045	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000446942	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000460524	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000464490	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000465334	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000491910	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM211B	ENSG00000178026	ENST00000495297	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000355830	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000406767	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000424706	processed_transcript	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000484582	retained_intron	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000490082	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000535113	protein_coding	0	0	0	8	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000540952	processed_transcript	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000541689	processed_transcript	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000544346	processed_transcript	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
FAM227A	ENSG00000184949	ENST00000608409	processed_transcript	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FAM230A	ENSG00000188280	ENST00000434783	protein_coding	0	0	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FAM230A	ENSG00000188280	ENST00000583722	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM230C	ENSG00000206142	ENST00000411581	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000416405	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM230C	ENSG00000206142	ENST00000416615	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM230C	ENSG00000206142	ENST00000431488	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM230C	ENSG00000206142	ENST00000447720	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM230C	ENSG00000206142	ENST00000451574	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM230C	ENSG00000206142	ENST00000452952	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM230C	ENSG00000206142	ENST00000453273	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM83F	ENSG00000133477	ENST00000333407	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
FAM83F	ENSG00000133477	ENST00000473717	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
FAM83F	ENSG00000133477	ENST00000488874	processed_transcript	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000262722	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000327858	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000340923	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000348697	protein_coding	0	0	0	13	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000402984	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000411478	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000437711	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000442170	protein_coding	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000451475	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000454279	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000455233	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000460538	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000465578	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000476366	processed_transcript	0	0	0	7	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0
FBLN1	ENSG00000077942	ENST00000484531	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FBXO7	ENSG00000100225	ENST00000266087	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000382058	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000397426	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000420700	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000425028	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000444207	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000452138	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000465418	processed_transcript	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
FBXO7	ENSG00000100225	ENST00000492535	retained_intron	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
FLJ27365	ENSG00000197182	ENST00000360737	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FLJ27365	ENSG00000197182	ENST00000381051	protein_coding	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FLJ27365	ENSG00000197182	ENST00000435439	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FLJ27365	ENSG00000197182	ENST00000443490	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAB4	ENSG00000215568	ENST00000400588	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
GAB4	ENSG00000215568	ENST00000465611	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
GAB4	ENSG00000215568	ENST00000523144	processed_transcript	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
GAL3ST1	ENSG00000128242	ENST00000338911	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
GAL3ST1	ENSG00000128242	ENST00000401975	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000402321	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000402369	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000406361	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000406955	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000411821	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000416358	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000423299	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000423371	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000426220	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000427899	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000428682	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000431313	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000437282	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000441967	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000443111	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000443136	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000445645	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000447224	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000448604	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000452827	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000453479	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
GAPDHP37	ENSG00000231907	ENST00000442317	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GAS2L1	ENSG00000185340	ENST00000341313	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340	ENST00000360113	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340	ENST00000403764	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340	ENST00000406549	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340	ENST00000407647	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340	ENST00000407854	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340	ENST00000471961	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000404953	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000407689	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000415484	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000421236	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000425691	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000440704	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000440839	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000459785	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000463795	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000464854	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000471480	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000492159	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000497605	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATSL3	ENSG00000239282	ENST00000498572	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGA1	ENSG00000100083	ENST00000325180	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGA1	ENSG00000100083	ENST00000337437	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGA1	ENSG00000100083	ENST00000343632	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGA1	ENSG00000100083	ENST00000381756	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGA1	ENSG00000100083	ENST00000406772	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGA1	ENSG00000100083	ENST00000460957	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGT1	ENSG00000100031	ENST00000248923	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GGT2	ENSG00000133475	ENST00000401924	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT2	ENSG00000133475	ENST00000405188	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT2	ENSG00000133475	ENST00000424627	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGT3P	ENSG00000197421	ENST00000412448	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
GGT3P	ENSG00000197421	ENST00000445651	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GGT3P	ENSG00000197421	ENST00000453783	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
GGT5	ENSG00000099998	ENST00000263112	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
GGT5	ENSG00000099998	ENST00000327365	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
GGT5	ENSG00000099998	ENST00000398292	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
GGT5	ENSG00000099998	ENST00000418439	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
GGT5	ENSG00000099998	ENST00000424217	protein_coding	0	0	0	6	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2
GGT5	ENSG00000099998	ENST00000425408	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GNAZ	ENSG00000128266	ENST00000248996	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GNAZ	ENSG00000128266	ENST00000479571	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GNB1L	ENSG00000185838	ENST00000329517	protein_coding	0	0	0	47	5	0	0	0	0	3	37	0	0	0	0	0	0	0	2
GNB1L	ENSG00000185838	ENST00000403325	protein_coding	0	0	0	44	0	0	1	0	0	5	36	0	0	0	0	0	0	0	2
GNB1L	ENSG00000185838	ENST00000405009	protein_coding	0	0	0	44	0	0	0	0	0	5	37	0	0	0	0	0	0	0	2
GNB1L	ENSG00000185838	ENST00000453108	protein_coding	0	0	0	29	0	0	1	0	0	9	17	0	0	0	0	0	0	0	2
GNB1L	ENSG00000185838	ENST00000460402	processed_transcript	0	0	0	43	0	0	0	0	0	4	36	0	1	0	0	0	0	0	2
GNB1L	ENSG00000185838	ENST00000481086	processed_transcript	0	0	0	36	0	0	0	0	0	4	29	0	1	0	0	0	0	0	2
GOLGA2P4	ENSG00000229608	ENST00000441462	unprocessed_pseudogene	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
GRAMD4	ENSG00000075240	ENST00000361034	protein_coding	0	0	0	16	0	0	0	0	0	3	11	0	0	0	0	0	0	0	2
GRAMD4	ENSG00000075240	ENST00000406902	protein_coding	0	0	0	16	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0
GRAMD4	ENSG00000075240	ENST00000408031	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GRAMD4	ENSG00000075240	ENST00000431155	protein_coding	0	0	0	9	0	0	0	0	0	2	5	0	0	0	0	0	0	0	2
GRAMD4	ENSG00000075240	ENST00000447351	protein_coding	0	0	0	12	0	0	0	0	0	3	7	0	0	0	0	0	0	0	2
GRAMD4	ENSG00000075240	ENST00000456069	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GRAMD4	ENSG00000075240	ENST00000490378	processed_transcript	0	0	0	7	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2
GRAMD4P2	ENSG00000235992	ENST00000423297	processed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000344138	protein_coding	0	0	0	7	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000399090	protein_coding	0	0	0	7	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2
GRAP2	ENSG00000100351	ENST00000407075	protein_coding	0	0	0	5	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000420971	protein_coding	0	1	0	4	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000460449	retained_intron	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
GRAP2	ENSG00000100351	ENST00000461082	retained_intron	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
GRAP2	ENSG00000100351	ENST00000478445	processed_transcript	0	0	0	6	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000481263	retained_intron	0	0	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1
GRAP2	ENSG00000100351	ENST00000540310	protein_coding	0	0	0	7	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000543252	protein_coding	0	0	0	7	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
GRAP2	ENSG00000100351	ENST00000544756	protein_coding	0	1	0	7	0	1	2	0	0	1	4	0	0	0	0	0	0	0	0
GSC2	ENSG00000063515	ENST00000086933	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GSTT1	ENSG00000184674	ENST00000248935	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
